line_number	field_count	reason	raw_preview
2113	16	16_fields_missing_information	-6.6000   34.3000 -.8351325989     -.2778348923      277.2294922     0.9627947360      2.840205193     -.9920024872     -.1984863281     -.6799249649 
2726	16	16_fields_missing_information	-5.9000   35.7250 -2.748641968     -2.185529709      282.6208496     0.9615488648     -3.691471100     -1.815706253     -2.400039673     0.7792625427 
4357	16	16_fields_missing_information	-6.0500   34.2250 -1.609692574     -1.668593407      289.3071289     0.5173039436     -6.167230606     -1.145949364     -7.100290298     -.5644769669 
5817	16	16_fields_missing_information	-10.0500   29.0000 -.5776185989      1.559943199      290.3203125     0.2398019880     -7.754884720     -2.974655151     -3.164642334      4.014923096
6044	16	16_fields_missing_information	-7.5750   33.3500 0.2278757095     -.2459259033      283.6538086     0.8561853163      1.615693092     -10.13885498     -.7467193604     -1.591003418 
7513	16	16_fields_missing_information	-17.5000   31.9250 -3.796563148     -.7108945847      291.8176270     0.5944668055     -2.200682640     -1.089459419     -4.139099121     -.1407012939
7537	16	16_fields_missing_information	-11.1500   28.4500 -1.473565102      1.265403748      288.3581543     0.3577571511     0.5060539246     0.5550870895     -9.382553101      7.103715897
7752	16	16_fields_missing_information	-4.4000   31.9250  1.291069031     -.2631788254      274.6447754     0.4771196842      2.237114906     -.9396362305E-01  1.131737709     -.8758163452E
9655	16	16_fields_missing_information	-5.5250   33.8750 -.1412000656      1.205712318      281.2668457     0.7343347073      5.012921333      3.602063179     0.1660671234     -.9277877808 
10280	16	16_fields_missing_information	-7.6500   33.5500 0.4661350250      3.715668678      281.8767090     0.8330590129      2.499818802     -7.171661377      4.504955292     -.4397430420 
13011	16	16_fields_missing_information	-15.8500   23.7000 -3.805278778     -.5938262939      286.5460968     0.8042566180      7.352452278     -6.399466515     -6.790159225     -2.468413353
15656	1	unexpected_field_count_1	2612
20380	16	16_fields_missing_information	-6.0500   34.2250  1.227871895      2.388365746      282.1088867     0.9979329705      5.940674782      4.402600288     0.7122325897     0.4471282959 
22146	1	unexpected_field_count_1	0523
22867	16	16_fields_missing_information	-13.2000   27.1500 -5.213456154     -.5617055893      285.3085938     0.9514663070     -3.399194717      1.285678864     -3.017761230     -.8375473022
23476	16	16_fields_missing_information	-2.9000   35.1500  1.503018379      1.217089653      283.9926758     0.8966543078      4.556392670     0.1793832779      2.593956947     -1.400674820 
25735	16	16_fields_missing_information	-7.5750   33.3500 -1.191340446     -3.643377304      286.9960938     0.9065540060     0.6026592255     -.8395528793     -2.131405830     -3.662066460 
30878	16	16_fields_missing_information	-9.7750   31.5000 -2.565526962     -1.911605835      284.6216125     0.9183307290     -3.608475685     -8.043151855     -5.676528931     -6.479415894 
31574	16	16_fields_missing_information	-13.2000   27.1500 -2.906570435     -3.935562134      286.6127930     0.9516978264     -3.246658325      4.538253784     -8.279708862     -11.18273926
33809	1	unexpected_field_count_1	2416
34371	1	unexpected_field_count_1	2514
36672	16	16_fields_missing_information	-11.1500   28.4500 -.2017889023     -8.626316071      291.2849121     0.6576668620     -3.944747925     -14.23767090     -.8648681641     -12.20892334
37311	16	16_fields_missing_information	-9.5500   30.3750 -1.065858841     -.1399688721      283.3240204     0.9967942834     -1.253845215     -7.244125366     -.9966430664     -1.046096802 
37733	16	16_fields_missing_information	-8.0250   31.6000  1.895690918      1.799224854      282.1215515     0.7701393366     -1.314014435     0.6380653381      3.279617310     0.7964935303 
39129	16	16_fields_missing_information	-13.2000   27.1500 -3.909922600     -2.034973145      293.5009766     0.6056427956     -2.715637207     0.8311710358     -6.913085938     -2.645283699
42892	16	16_fields_missing_information	-6.9000   30.9250 0.7201614380     0.9776020050E-01  275.7078705     0.5640643835     -8.212249756     -2.451721191     0.9251556396     0.1809844971 
45317	16	16_fields_missing_information	-9.4000   30.3250 -.5094528198E-01  3.890581131      287.7871094     0.9080070853     -8.249670029      2.333003044     0.6581878662      2.753433228 
